Title, Content, time for action, time from start 
"'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-mlinux_template_4b84a613"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...","'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-mlinux_template_4b84a613"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...",0:00,0:12
'<b>ssp-ci-cluster-mlinux_template_4b84a613</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>','<b>ssp-ci-cluster-mlinux_template_4b84a613</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>',0:00,0:12
"'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-olinux_template_a443c413"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...","'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-olinux_template_a443c413"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...",0:03,0:15
"'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-olinux_template_a443c413"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...","'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-olinux_template_a443c413"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...",0:00,0:15
'<b>ssp-ci-cluster-olinux_template_a443c413</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>','<b>ssp-ci-cluster-olinux_template_a443c413</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>',0:00,0:15
"'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-ilinux_template_75b865db"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...","'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-ilinux_template_75b865db"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...",0:02,0:17
"'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-ilinux_template_75b865db"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...","'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""ssp-ci-cluster-ilinux_template_75b865db"" ""refresh_ip_timeout"": 600.0 ""auto_delete""...",0:00,0:17
'<b>ssp-ci-cluster-ilinux_template_75b865db</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>','<b>ssp-ci-cluster-ilinux_template_75b865db</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>',0:00,0:17
"'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""TB5-suma-mnt-ilinux_2b009a6d"" ""refresh_ip_timeout"": 600.0 ""auto_delete"": ""True"" ""...","'<b>Deploy From Template</b>' resource command on '<b>PIT-VC01</b>' completed with output: {""vm_name"": ""TB5-suma-mnt-ilinux_2b009a6d"" ""refresh_ip_timeout"": 600.0 ""auto_delete"": ""True"" ""...",0:02,0:19
"'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""TB5-suma-mnt-ilinux_2b009a6d"" ""refresh_ip_timeout"": 600.0 ""auto_delete"": ""True"" ""...","'<b>Deploy</b>' resource command on '<b>vCenter VM From Template</b>' completed with output: {""vm_name"": ""TB5-suma-mnt-ilinux_2b009a6d"" ""refresh_ip_timeout"": 600.0 ""auto_delete"": ""True"" ""...",0:00,0:19
'<b>TB5-suma-mnt-ilinux_2b009a6d</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>','<b>TB5-suma-mnt-ilinux_2b009a6d</b>' was added to reservation '<b>admin_SSP_PIT_REPLICA_-_DO_NOT_DELETE_some connections</b>',0:00,0:19
