Title, Content, time for action, time from start 
'<b>Deploy</b>' resource command on '<b>ssp-ci-ipagent-master</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-ipagent-master</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>TB5-suma-mnt-ilinux</b>' started,'<b>Deploy</b>' resource command on '<b>TB5-suma-mnt-ilinux</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-olinux</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-olinux</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-win2008</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-win2008</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-lnx1</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-lnx1</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-vpagent_outside2</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-vpagent_outside2</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-ilinux</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-ilinux</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-mlinux</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-cluster-mlinux</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-opagent-master</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-opagent-master</b>' started,0:0,0:0
'<b>Deploy</b>' resource command on '<b>ssp-ci-acs</b>' started,'<b>Deploy</b>' resource command on '<b>ssp-ci-acs</b>' started,0:0,0:0
Reservation message: 'ssp-ci-smtp-server - Deployment started',Reservation message: 'ssp-ci-smtp-server - Deployment started',0:0,0:0
Reservation message: 'ssp-ci-lnx2 - Deployment started',Reservation message: 'ssp-ci-lnx2 - Deployment started',0:0,0:0
Reservation message: 'TB5-suma-mnt-olinux - Deployment started',Reservation message: 'TB5-suma-mnt-olinux - Deployment started',0:0,0:0
Reservation message: 'ssp-ci-ipagent-master - Deployment started',Reservation message: 'ssp-ci-ipagent-master - Deployment started',0:0,0:0
Reservation message: 'TB5-suma-mnt-ilinux - Deployment started',Reservation message: 'TB5-suma-mnt-ilinux - Deployment started',0:0,0:0
'<b>ssp-ci-smtp-server_QS 3/Network Interfaces/Network adapter 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>','<b>ssp-ci-smtp-server_QS 3/Network Interfaces/Network adapter 1</b>' was added to reservation '<b>SSP-QP Topology 1-CIM2.0</b>',0:0,0:0
